german,rus
wert,ценить
arzt,врач
froh,радостно
versuche,пытаться
straße,улица
rufen,вызов
heiraten,выйти замуж
super,Отличный
sam,Сэм
lebt,жизни
gutes,хороший
lasse,позволять
onkel,дядя
total,общий
gebracht,принес
party,вечеринка
erklären,объяснять
spielt,игры
wahl,выбор
vertrauen,доверять
damals,в это время
tagen,дни
leicht,свет
nachdem,после
gegangen,шел
gefühl,чувство
kaufen,купить
geschafft,сделанный
typen,парень
interessiert,заинтересован
möchten,хотел бы
halte,держать
hält,держит
glaub,вера
irgendwo,где-то
stück,кусок
genauso,как только
kennt,знает
genommen,взятый
zukunft,будущее
weniger,меньше
cool,прохладный
licht,свет
getroffen,встретил
himmel,небеса
nachricht,Новости
drüben,вон там
passt,подходит
sagten,сказал
kümmern,заботиться
laut,громкий
vergiss,забывчиво
angerufen,называется
sitzen,сидеть
daß,что
erde,земля
großer,больше
schlüssel,ключ
rest,отдых
passieren,случаться
eher,скорее
gefragt,спросил
gefängnis,тюрьма
opfer,жертва
körper,тело
solche,такой
mist,проклятие
mr,Мистер
findet,находить
schreiben,писать
böse,иметь в виду
gesprochen,разговорный
versuch,пытаться
vorstellen,представлять
wovon,О чем
sobald,как только
nochmal,снова
herren,Мужской
sex,секс
waffen,оружие
wohnung,квартира
weh,больной
heißen,называться
krankenhaus,больница
bringe,приносить
höre,слушать
millionen,миллионы
klasse,сорт
hart,жесткий
worden,ушел
sinn,смысл
außerdem,Помимо этого
verletzt,раненый
ändern,изменять
erfahren,опыт
tragen,нести
wenigstens,по меньшей мере
vorsichtig,осторожный
daddy,папочка
stolz,гордый
stark,сильный
fällt,падать
möchtest,хотеть
leuten,люди
besonders,особенно
schöne,прекрасный
schicken,отправлять
person,человек
schätze,ценить
solange,пока
länger,дольше
großartig,большой
lacht,смеется
anrufen,позвонить
stand,стоял
redest,речь
fühlen,чувствовать
erwartet,ожидал
boden,пол
boss,босс
stimme,голос
glaubt,верит
still,тихий
sicherheit,безопасность
setz,параметр
ma,Магистр
mund,рот
kämpfen,боевой
wisst,знать
lachen,смех
hörst,слышать
zeug,вещи
lustig,веселье
umbringen,убийство
sollst,тщательный
hasse,ненавидеть
schlimm,ужасный
o,О
unglaublich,невероятный
wärst,быть
laden,нагрузка
führen,вести
gestorben,умер
schauen,смотреть
meinung,мнение
lesen,читать
mörder,убийца
frank,откровенный
ähm,гм
geschehen,случаться
geschäft,бизнес
idiot,идиот
verzeihung,прощение
fliegen,летать
zeig,показывать
team,команда
general,общий
mike,Майк
aufs,на
york,Йорк
vorher,заранее
schluss,конец
schneller,быстрее
liebt,любил
verdient,заработал
mögen,нравиться
meisten,большинство
denk,думать
umgebracht,убитый
perfekt,идеальный
versprochen,обещано
handy,мобильный
hinten,задний
monate,месяцы
erinnere,напоминать
acht,восемь
arbeitet,работает
fallen,падать
rufe,вызовы
nötig,необходимый
a,А
mord,убийство
heraus,отсюда
tages,день
unmöglich,невозможный
liebling,милый
charlie,Чарли
tatsächlich,на самом деле
folgen,последствия
bitten,запрос
behalten,держать
nähe,окрестности
arbeite,работа
joe,Джо
verdammte,проклятие
plötzlich,внезапно
lebens,жизнь
hole,дыра
tisch,стол
michael,Майкл
hörte,слышал
jemals,всегда
liegen,класть
verkaufen,продавать
gefährlich,опасный
anfangen,начинать
bekommt,получает
machte,сделал
ha,Ха
hotel,Гостиница
hilft,помогает
werdet,становиться
meister,владелец
kampf,боевой
antwort,отвечать
konnten,мог
geschickt,отправил
jedem,каждый
obwohl,хотя
sieben,Семь
komisch,забавный
gewinnen,победить
ihres,ее
bezahlt,оплаченный
you,Ты
voller,полон
unterwegs,Путешествие
dumm,тупой
ärger,обострение
bild,картина
george,Джордж
neu,новый
bezahlen,платить
dagegen,против этого
seien,быть
starb,умер
tom,Том
monaten,месяцы
leiche,труп
niemanden,никто
auge,глаз
arschloch,засранец
verheiratet,женатый
peter,Питер
zieh,тянуть
nimmt,принимает
gerettet,спасено
agent,агент
traum,мечтать
entscheidung,решение
schlimmer,худший
regeln,правила
fenster,окно
fangen,ловить
fort,на
ständig,постоянный
findest,находить
gefahr,Опасность
absolut,абсолютно
mary,Мэри
augenblick,мгновенный
bescheid,уведомление
rum,ром
gedanken,мысли
werd,по -прежнему
ziel,цель
benutzt,использовал
bewegung,движение
jemandem,кто-то
wünschte,желание
worte,слова
kamen,пришел
welcher,который
